"caseid","v212","v301","v302","v191","v133","v102","v104","v005","v000","v007","v001","v002","v025","v525","v717","v613","v012","SurveyId"
"    00132424  5",28,3,3,103446,16,1,95,632510,"CO7",2015,13,2424,1,22,1,2,33,"CO2015DHS"
"    00132525  1",16,3,3,75571,11,1,25,504122,"CO7",2015,13,2525,1,15,7,5,45,"CO2015DHS"
"    00132525  3",NA,3,0,75571,10,1,95,460306,"CO7",2015,13,2525,1,0,7,3,17,"CO2015DHS"
"    00141414  2",16,3,3,-27698,6,1,8,490489,"CO7",2015,14,1414,1,15,3,2,40,"CO2015DHS"
"    00141414  3",NA,3,0,-27698,10,1,6,387626,"CO7",2015,14,1414,1,0,0,3,17,"CO2015DHS"
"    00141515  4",NA,3,0,-32939,6,1,95,420886,"CO7",2015,14,1515,1,0,0,0,14,"CO2015DHS"
"    00141515  5",19,3,3,-32939,12,1,95,455032,"CO7",2015,14,1515,1,15,7,2,25,"CO2015DHS"
"    00141616  2",30,3,3,-13798,11,1,3,429022,"CO7",2015,14,1616,1,19,7,2,37,"CO2015DHS"
"    00141717  2",16,3,3,27441,11,1,4,455032,"CO7",2015,14,1717,1,96,8,0,27,"CO2015DHS"
"    00142020  1",NA,3,0,-70021,12,1,1,443450,"CO7",2015,14,2020,1,19,7,4,20,"CO2015DHS"
"    00142222  2",17,3,3,-78623,11,1,10,443450,"CO7",2015,14,2222,1,14,9,3,23,"CO2015DHS"
"    00142424  1",19,3,3,-23752,12,1,18,532640,"CO7",2015,14,2424,1,15,1,2,33,"CO2015DHS"
"    00142424  2",NA,3,0,-23752,7,1,95,420886,"CO7",2015,14,2424,1,0,0,2,14,"CO2015DHS"
"    00142424  4",16,3,3,-23752,13,1,0,455032,"CO7",2015,14,2424,1,15,1,2,27,"CO2015DHS"
"    00149060  2",21,3,3,39008,12,1,3,532640,"CO7",2015,14,9060,1,14,9,1,30,"CO2015DHS"
"    00151212  3",NA,3,3,117098,16,1,0,562841,"CO7",2015,15,1212,1,22,1,2,24,"CO2015DHS"
"    00151313  4",NA,3,3,103997,10,1,16,491987,"CO7",2015,15,1313,1,16,0,4,18,"CO2015DHS"
"    00151414  1",29,3,3,117566,13,1,22,622544,"CO7",2015,15,1414,1,17,2,2,42,"CO2015DHS"
"    00151818  2",22,3,3,112306,14,1,95,538818,"CO7",2015,15,1818,1,21,1,2,48,"CO2015DHS"
"    00151919  2",27,3,3,120413,13,1,95,622544,"CO7",2015,15,1919,1,24,1,2,44,"CO2015DHS"
"    00152222  2",NA,3,3,102632,13,1,95,544527,"CO7",2015,15,2222,1,21,1,1,39,"CO2015DHS"
"    00161114  4",NA,3,3,92008,11,1,10,663348,"CO7",2015,16,1114,1,18,7,2,22,"CO2015DHS"
"    00161114  5",NA,3,3,92008,12,1,8,663348,"CO7",2015,16,1114,1,16,3,3,21,"CO2015DHS"
"    00161114  7",NA,3,0,92008,9,1,10,629594,"CO7",2015,16,1114,1,0,0,2,14,"CO2015DHS"
"    00161215  5",23,3,3,-1545,13,1,3,680673,"CO7",2015,16,1215,1,14,7,3,29,"CO2015DHS"
"    00161417  2",20,3,3,77428,11,1,95,641764,"CO7",2015,16,1417,1,17,9,3,36,"CO2015DHS"
"    00161619  1",19,3,0,-11315,5,1,4,733712,"CO7",2015,16,1619,1,96,8,3,44,"CO2015DHS"
"    00161619  5",18,3,3,-11315,12,1,95,663348,"CO7",2015,16,1619,1,17,1,3,22,"CO2015DHS"
"    00161720  2",20,3,3,75745,11,1,25,733712,"CO7",2015,16,1720,1,19,3,4,41,"CO2015DHS"
"    00161720  3",NA,3,3,75745,13,1,95,663348,"CO7",2015,16,1720,1,17,3,2,20,"CO2015DHS"
"    00161720  4",NA,3,0,75745,8,1,95,579842,"CO7",2015,16,1720,1,0,0,2,16,"CO2015DHS"
"    00161923  2",17,3,3,57628,16,1,95,796765,"CO7",2015,16,1923,1,15,3,1,31,"CO2015DHS"
"    00161923  6",NA,3,0,57628,7,1,95,629594,"CO7",2015,16,1923,1,0,7,4,13,"CO2015DHS"
"    00162125  4",22,3,3,41132,13,1,14,680673,"CO7",2015,16,2125,1,16,3,3,26,"CO2015DHS"
"    00162226  1",NA,3,3,51797,15,1,16,663348,"CO7",2015,16,2226,1,18,3,2,24,"CO2015DHS"
"    00171818  2",21,3,3,61349,12,1,95,1105214,"CO7",2015,17,1818,1,18,7,2,23,"CO2015DHS"
"    00172020  4",15,3,3,34924,4,1,3,1105214,"CO7",2015,17,2020,1,14,3,5,22,"CO2015DHS"
"    00172121  1",26,3,3,38251,16,1,30,1222449,"CO7",2015,17,2121,1,24,2,2,43,"CO2015DHS"
"    00172121  2",NA,3,0,38251,11,1,95,966084,"CO7",2015,17,2121,1,0,7,2,17,"CO2015DHS"
"    00179050  2",NA,3,0,98345,16,1,16,1069254,"CO7",2015,17,9050,1,29,3,2,36,"CO2015DHS"
"    00180615  1",27,3,3,70680,16,1,95,339569,"CO7",2015,18,615,1,25,1,2,41,"CO2015DHS"
"    00180615  2",NA,3,0,70680,8,1,95,291383,"CO7",2015,18,615,1,0,0,3,13,"CO2015DHS"
"    00180616  2",NA,3,3,77988,16,1,95,315022,"CO7",2015,18,616,1,23,1,3,26,"CO2015DHS"
"    00180717  2",17,3,3,49012,11,1,2,339569,"CO7",2015,18,717,1,16,7,0,41,"CO2015DHS"
"    00180819  3",NA,3,3,88032,16,1,95,315022,"CO7",2015,18,819,1,24,3,3,25,"CO2015DHS"
"    00181021  2",22,3,3,83196,13,1,95,297015,"CO7",2015,18,1021,1,20,0,3,37,"CO2015DHS"
"    00181021  3",NA,3,0,83196,9,1,95,268357,"CO7",2015,18,1021,1,0,0,2,15,"CO2015DHS"
